N_R,N_P,N_C,D_R,D_P,D_C,C_R,C_P,C_C,Correct
2,2,1,6,12,11,2,1,0,False
1,1,0,2,13,12,1,1,0,True
1,1,1,4,6,6,1,0,1,False
1,2,1,5,16,16,1,1,1,False
1,2,1,4,10,8,1,1,0,False
1,1,0,3,7,6,1,1,0,True
1,2,0,4,6,8,1,0,0,False
1,1,0,2,7,8,1,1,0,True
1,1,0,4,5,6,1,1,0,True
1,1,0,4,7,9,1,1,0,True
1,1,1,3,7,8,1,1,1,True
1,1,1,6,10,11,1,1,1,True
2,2,0,4,12,10,2,2,0,True
2,1,0,3,5,2,2,1,0,True
1,1,0,3,8,9,1,0,0,False
1,2,0,3,9,9,1,1,0,False
2,1,0,4,16,11,2,0,0,False
1,2,0,4,26,26,1,2,0,True
1,1,1,4,6,5,1,1,1,True
2,2,1,5,14,15,2,2,1,True
2,2,0,3,13,13,2,2,0,True
2,2,1,5,7,5,2,2,1,True
2,1,0,3,6,8,2,1,0,True
1,2,1,7,10,11,1,1,0,False
1,1,1,3,6,7,1,0,1,False
1,1,0,3,9,11,1,0,0,False
2,2,1,5,4,4,2,2,1,True
2,1,0,4,10,9,1,1,0,False
1,2,1,6,21,21,1,0,1,False
2,2,1,6,14,12,2,1,0,False
1,1,0,2,2,3,1,1,0,True
1,2,0,3,9,8,1,1,0,False
1,2,1,4,12,12,1,2,0,False
2,2,1,5,4,6,2,2,1,True
2,1,0,3,9,10,2,1,0,True
1,2,1,5,6,6,1,2,1,True
1,2,1,6,16,10,0,1,1,False
2,2,1,5,33,31,2,1,0,False
1,2,0,5,20,16,1,1,0,False
1,2,1,5,6,5,1,0,1,False
2,1,0,4,12,13,2,1,0,True
2,1,0,3,18,13,2,1,0,True
2,1,0,5,7,8,2,0,0,False
1,1,0,3,18,20,1,0,0,False
1,1,1,4,3,3,1,0,1,False
1,1,0,4,9,9,1,1,0,True
2,2,0,5,15,17,1,2,0,False
1,2,1,7,21,22,1,1,1,False
1,2,1,5,14,14,0,0,1,False
1,1,0,2,15,8,1,1,0,True
2,2,1,4,3,3,1,1,0,False
2,2,0,3,11,11,2,2,0,True
2,1,1,4,5,7,1,0,1,False
1,1,0,2,10,12,1,1,0,True
1,2,1,5,9,9,1,2,1,True
1,1,1,5,9,11,1,0,1,False
1,2,1,5,10,9,0,0,1,False
1,1,0,3,6,9,1,0,0,False
1,2,1,4,20,21,1,2,1,True
2,2,1,6,17,20,2,2,1,True
1,1,0,4,11,6,1,1,0,True
1,2,0,3,12,11,1,2,0,True
1,1,1,4,11,10,1,0,1,False
1,2,1,4,11,12,1,2,0,False
1,1,0,4,5,3,1,1,0,True
1,2,1,4,11,10,1,0,1,False
1,2,1,6,7,10,1,2,1,True
2,2,0,4,12,13,2,2,0,True
1,2,1,4,14,10,1,1,1,False
1,1,0,1,8,10,1,1,0,True
1,1,0,3,6,5,1,0,0,False
1,1,0,4,9,7,1,1,0,True
1,1,0,1,9,10,1,1,0,True
2,1,0,4,12,9,2,1,0,True
2,1,0,6,6,5,2,0,0,False
2,1,0,4,8,11,2,1,0,True
1,2,1,4,8,6,0,1,1,False
1,2,0,5,9,9,1,2,0,True
1,2,1,5,18,15,1,2,1,True
1,1,0,3,12,11,1,1,0,True
1,2,0,5,14,17,1,1,0,False
1,2,0,5,5,5,1,1,0,False
2,2,0,4,10,9,2,2,0,True
2,2,1,5,16,14,2,2,1,True
1,1,0,4,6,5,1,0,0,False
1,2,1,6,11,11,0,2,1,False
2,2,0,5,7,6,1,1,0,False
1,1,0,3,4,4,1,1,0,True
1,1,1,3,8,10,1,1,1,True
1,2,0,7,14,13,0,2,0,False
1,2,1,4,12,12,1,2,0,False
1,1,0,6,2,3,1,1,0,True
2,1,0,6,10,12,1,0,0,False
1,1,0,4,12,11,1,1,0,True
2,2,0,7,16,13,1,2,0,False
1,2,0,6,12,14,1,2,0,True
1,1,1,4,9,10,1,0,1,False
1,1,0,4,5,5,1,0,0,False
1,1,0,4,9,10,1,0,0,False
1,2,1,4,13,14,1,1,1,False
2,2,0,5,4,4,2,2,0,True
2,1,0,4,2,3,2,1,0,True
1,1,0,3,5,3,1,1,0,True
2,1,1,5,24,26,2,1,1,True
1,1,0,5,14,15,1,1,0,True
2,1,0,3,1,1,2,0,0,False
2,1,0,6,10,12,0,0,0,False
1,2,0,2,9,7,1,1,0,False
1,2,0,5,19,17,1,2,0,True
2,2,0,6,15,14,1,2,0,False
2,2,0,6,11,6,2,1,0,False
1,1,0,4,4,4,0,1,0,False
1,2,0,3,8,5,0,1,0,False
1,2,0,6,7,8,1,0,0,False
2,1,0,5,9,9,2,1,0,True
1,1,1,3,9,9,1,0,1,False
2,2,0,4,3,3,2,1,0,False
1,1,1,5,10,8,0,0,1,False
1,2,0,5,18,15,0,1,0,False
1,2,1,5,10,8,1,0,1,False
1,2,1,3,12,12,0,2,1,False
1,1,1,4,11,9,1,1,1,True
2,2,0,4,13,11,2,2,0,True
1,1,1,5,7,9,1,1,1,True
1,2,1,3,9,12,1,0,1,False
2,2,0,4,5,4,2,1,0,False
1,1,1,5,4,5,1,0,1,False
1,1,0,5,5,6,1,1,0,True
1,2,1,4,6,7,1,2,1,True
1,2,0,5,16,15,1,2,0,True
1,2,0,2,5,3,1,0,0,False
2,1,0,3,4,6,2,1,0,True
1,2,1,6,9,11,1,2,1,True
1,1,0,5,10,12,1,1,0,True
1,2,1,4,10,11,0,0,1,False
1,2,1,4,13,14,1,2,1,True
1,1,1,3,8,7,1,1,1,True
2,1,0,2,5,8,2,0,0,False
2,1,0,4,13,13,1,1,0,False
1,2,1,5,12,13,0,2,0,False
1,2,1,6,7,8,1,0,1,False
1,1,1,5,13,13,1,1,1,True
1,2,1,5,14,14,1,2,1,True
1,2,0,3,19,16,0,1,0,False
1,1,0,6,13,12,1,1,0,True
1,2,1,4,24,25,0,2,1,False
1,1,0,3,5,5,1,1,0,True
1,1,0,3,14,9,1,1,0,True
1,2,1,2,4,5,1,2,1,True
2,2,1,6,8,8,2,2,1,True
1,1,1,3,8,9,1,1,1,True
1,2,1,4,13,13,1,0,1,False
1,2,1,7,12,11,0,0,1,False
1,2,1,3,13,15,1,2,0,False
2,2,0,6,13,12,2,0,0,False
2,2,0,6,4,3,1,2,0,False
1,2,1,3,9,11,1,1,0,False
2,2,0,6,10,12,2,2,0,True
2,1,0,5,14,16,1,1,0,False
2,1,1,6,5,5,1,0,1,False
2,1,0,3,1,2,1,0,0,False
1,1,0,4,3,4,1,0,0,False
2,2,1,5,14,11,2,2,1,True
1,1,0,7,9,8,1,1,0,True
1,1,0,3,5,5,1,1,0,True
1,2,0,5,9,10,1,2,0,True
2,2,0,5,15,15,2,1,0,False
1,2,1,5,15,13,1,2,1,True
1,1,0,3,5,4,0,1,0,False
1,2,0,4,15,8,1,2,0,True
1,1,0,6,19,18,1,0,0,False
1,2,1,4,15,10,0,1,1,False
1,2,1,3,11,10,1,1,1,False
2,2,0,4,7,7,2,2,0,True
2,1,0,4,5,5,2,1,0,True
1,1,1,6,9,10,0,1,1,False
1,1,1,4,8,9,1,0,1,False
2,2,1,7,17,17,2,1,1,False
1,2,0,6,12,13,0,2,0,False
1,1,0,4,6,6,1,1,0,True
2,2,1,5,9,11,2,1,1,False
1,2,1,3,6,7,1,0,1,False
2,1,0,6,10,8,2,0,0,False
2,1,0,3,2,2,2,1,0,True
1,1,0,1,7,7,1,1,0,True
1,1,0,3,3,2,1,0,0,False
1,1,1,5,14,9,1,1,1,True
1,2,1,4,18,16,1,2,1,True
1,1,0,4,6,8,1,0,0,False
2,2,0,8,16,17,1,1,0,False
2,2,0,5,6,5,2,2,0,True
1,2,0,5,8,7,1,2,0,True
1,2,1,4,13,13,1,1,1,False
1,1,0,3,5,4,1,1,0,True
2,2,0,5,4,4,1,2,0,False
1,2,0,5,7,7,1,1,0,False
2,1,0,3,24,24,2,0,0,False
2,1,0,4,8,9,2,1,0,True
2,2,1,5,14,15,2,1,1,False
1,1,0,3,5,7,1,1,0,True
1,1,1,5,4,5,1,1,0,False
1,1,0,5,17,15,0,1,0,False
1,1,0,4,7,6,1,1,0,True
1,2,1,7,18,13,1,2,1,True
1,1,1,5,3,3,1,1,1,True
1,2,1,5,14,15,1,0,0,False
1,1,0,5,28,26,1,1,0,True
1,2,1,5,12,8,1,2,1,True
1,1,1,3,5,4,1,1,0,False
2,1,0,5,8,6,1,1,0,False
1,1,0,2,6,8,1,1,0,True
2,2,1,7,7,8,2,2,1,True
1,2,1,4,7,9,0,0,1,False
2,2,1,5,13,9,2,2,1,True
1,1,0,6,16,17,1,1,0,True
1,2,0,3,9,10,1,1,0,False
2,2,1,8,14,12,2,2,1,True
1,2,1,7,11,12,1,1,1,False
2,2,1,5,29,25,2,2,1,True
1,1,0,2,16,14,1,1,0,True
1,2,1,4,8,7,1,1,1,False
1,2,1,4,7,9,1,2,1,True
1,2,0,4,12,11,1,1,0,False
2,2,1,5,22,23,2,2,1,True
1,1,0,3,7,10,1,0,0,False
1,2,1,5,9,11,1,1,1,False
1,2,0,4,6,9,1,1,0,False
1,2,1,5,13,10,1,2,0,False
1,2,1,5,9,10,1,2,1,True
1,2,1,5,9,8,1,1,1,False
1,1,0,2,2,2,0,0,0,False
1,2,0,4,13,12,1,2,0,True
1,1,0,3,11,11,0,1,0,False
2,1,0,5,11,11,1,1,0,False
1,2,1,4,11,8,1,2,1,True
1,2,0,5,10,12,1,2,0,True
1,2,1,5,12,12,1,2,1,True
1,2,1,5,9,10,0,2,0,False
2,1,0,4,3,4,2,1,0,True
1,1,1,2,4,2,1,0,1,False
1,2,0,4,8,8,1,1,0,False
1,2,0,5,11,12,1,2,0,True
2,1,1,5,6,6,1,1,1,False
2,1,0,6,7,10,0,1,0,False
2,1,1,7,7,9,2,0,1,False
1,2,1,4,15,9,1,1,1,False
2,2,1,5,18,13,2,2,1,True
1,2,1,6,11,12,1,1,1,False
2,2,1,5,8,11,2,1,0,False
1,2,0,5,12,13,1,1,0,False
1,2,1,4,8,6,1,1,1,False
1,1,0,4,6,4,1,1,0,True
2,1,0,4,7,8,2,1,0,True
2,2,0,5,10,10,2,1,0,False
1,2,0,4,14,10,1,2,0,True
2,2,0,5,18,13,2,2,0,True
2,2,0,3,4,3,1,1,0,False
2,1,0,5,4,3,2,1,0,True
1,2,1,5,11,10,1,1,1,False
1,1,1,3,10,11,1,1,1,True
2,2,1,5,10,10,2,2,1,True
2,2,1,5,20,15,2,2,1,True
1,2,0,5,12,10,1,2,0,True
1,2,1,1,7,7,1,1,0,False
1,2,1,4,9,11,1,1,1,False
1,1,1,4,5,3,1,1,1,True
1,1,1,5,15,15,1,1,1,True
1,1,1,5,6,6,1,1,1,True
